session_id,session_z,hits,first_at_trial,at_count,t1_thinking_chars,mean_t2plus_thinking_chars,mean_stmt_chars,ats_total,ats_section_a,ats_section_b,ranking_rho,s1_rankings_valid,s2_rankings_valid,irr_pct_agreement,irr_kappa,B3_probe_q9,probe_length,depth_L3_count,batch_id_scored
20260322_213410_CA_FORMAL,0.3316,7,2,9,118,28.3,186.2,11,5,6,0.1908,True,True,1.0,1.0,2,3117,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_213535_CA_FORMAL,0.4536,5,3,8,162,55.3,295.5,10,4,6,-0.1763,True,True,0.7777777777777778,0.6086956521739131,2,3984,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_213714_CA_FORMAL,-0.8682,2,3,8,162,68.3,235.8,13,7,6,0.1033,True,True,0.6666666666666666,0.4375,2,3266,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_213845_CA_FORMAL,0.3774,4,2,9,178,34.9,268.7,11,5,6,-0.1033,True,True,0.8888888888888888,0.7857142857142856,2,3699,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_214027_CA_FORMAL,0.4262,4,4,7,104,71.1,221.3,11,6,5,-0.0438,True,True,0.8888888888888888,0.7857142857142856,2,3591,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_214203_CA_FORMAL,1.0005,6,3,8,160,51.4,181.1,12,6,6,-0.2979,True,True,1.0,1.0,2,3708,9,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_214346_CA_FORMAL,0.0488,4,2,9,223,29.2,210.5,15,9,6,-0.0184,True,True,,,2,3837,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_214547_CA_FORMAL,-0.6449,4,3,7,194,83.9,218.5,14,8,6,0.2884,True,True,0.6666666666666666,0.4807692307692308,2,2981,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_214715_CA_FORMAL,2.6821,9,3,8,162,52.3,211.6,15,9,6,0.3161,True,True,0.5555555555555556,0.14285714285714293,2,3592,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_214852_CA_FORMAL,-0.0167,5,4,7,158,72.9,229.7,12,6,6,0.0979,True,True,0.7777777777777778,0.5909090909090909,2,3578,9,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
